currency,rate,date
HRK,7.48,2016-04-28
RUB,73.5195,2016-04-28
TRY,3.1963,2016-04-28
AUD,1.4906,2016-04-28
BRL,3.9907,2016-04-28
CAD,1.4262,2016-04-28
CNY,7.3562,2016-04-28
HKD,8.8111,2016-04-28
IDR,14977.23,2016-04-28
ILS,4.2697,2016-04-28
INR,75.531,2016-04-28
KRW,1295.54,2016-04-28
MXN,19.6713,2016-04-28
MYR,4.4251,2016-04-28
NZD,1.6287,2016-04-28
PHP,53.309,2016-04-28
SGD,1.5273,2016-04-28
THB,39.804,2016-04-28
ZAR,16.3328,2016-04-28
USD,1.1303,2016-04-27
JPY,125.79,2016-04-27
BGN,1.9558,2016-04-27
CZK,27.034,2016-04-27
DKK,7.4428,2016-04-27
GBP,0.77475,2016-04-27
HUF,312.12,2016-04-27
PLN,4.3918,2016-04-27
RON,4.464,2016-04-27
SEK,9.1613,2016-04-27
CHF,1.0998,2016-04-27
NOK,9.2013,2016-04-27
HRK,7.4773,2016-04-27
RUB,73.7837,2016-04-27
TRY,3.1908,2016-04-27
AUD,1.4885,2016-04-27
BRL,3.9826,2016-04-27
CAD,1.4223,2016-04-27
CNY,7.3411,2016-04-27
HKD,8.7671,2016-04-27
IDR,14915.43,2016-04-27
ILS,4.2542,2016-04-27
INR,75.1273,2016-04-27
KRW,1299.53,2016-04-27
MXN,19.6578,2016-04-27
MYR,4.4318,2016-04-27
NZD,1.6504,2016-04-27
PHP,52.973,2016-04-27
SGD,1.5251,2016-04-27
THB,39.707,2016-04-27
ZAR,16.351,2016-04-27
USD,1.1287,2016-04-26
JPY,125.45,2016-04-26
BGN,1.9558,2016-04-26
CZK,27.027,2016-04-26
DKK,7.4418,2016-04-26
GBP,0.77483,2016-04-26
HUF,312.2,2016-04-26
PLN,4.3799,2016-04-26
RON,4.4747,2016-04-26
SEK,9.1545,2016-04-26
CHF,1.1,2016-04-26
NOK,9.2278,2016-04-26
HRK,7.4785,2016-04-26
RUB,74.8948,2016-04-26
TRY,3.1951,2016-04-26
AUD,1.46,2016-04-26
BRL,3.9943,2016-04-26
CAD,1.4276,2016-04-26
CNY,7.3345,2016-04-26
HKD,8.7545,2016-04-26
IDR,14917.56,2016-04-26
ILS,4.2484,2016-04-26
INR,75.1373,2016-04-26
KRW,1299.14,2016-04-26
MXN,19.7889,2016-04-26
MYR,4.4279,2016-04-26
NZD,1.6417,2016-04-26
PHP,52.864,2016-04-26
SGD,1.528,2016-04-26
THB,39.708,2016-04-26
ZAR,16.3492,2016-04-26
USD,1.1264,2016-04-25
JPY,124.95,2016-04-25
BGN,1.9558,2016-04-25
CZK,27.047,2016-04-25
DKK,7.4418,2016-04-25
GBP,0.7764,2016-04-25
HUF,311.3,2016-04-25
PLN,4.3911,2016-04-25
RON,4.4801,2016-04-25
SEK,9.157,2016-04-25
CHF,1.0973,2016-04-25
NOK,9.2735,2016-04-25
HRK,7.4818,2016-04-25
RUB,74.6713,2016-04-25
TRY,3.2074,2016-04-25
AUD,1.4587,2016-04-25
BRL,4.0168,2016-04-25
CAD,1.4286,2016-04-25
CNY,7.3145,2016-04-25
HKD,8.7373,2016-04-25
IDR,14864.34,2016-04-25
ILS,4.2447,2016-04-25
INR,75.019,2016-04-25
KRW,1291.46,2016-04-25
MXN,19.8036,2016-04-25
MYR,4.3982,2016-04-25
NZD,1.6399,2016-04-25
PHP,52.808,2016-04-25
SGD,1.5215,2016-04-25
THB,39.499,2016-04-25
ZAR,16.3141,2016-04-25
USD,1.1263,2016-04-22
JPY,124.86,2016-04-22
BGN,1.9558,2016-04-22
CZK,27.046,2016-04-22
DKK,7.4413,2016-04-22
GBP,0.78335,2016-04-22
HUF,310.1,2016-04-22
PLN,4.3506,2016-04-22
RON,4.4753,2016-04-22
SEK,9.1381,2016-04-22
CHF,1.0991,2016-04-22
